filename,width,height,aspect_ratio,file_size_kb,error
01 2026 NQ_page_1.png,1654.0,2339.0,0.7071398033347585,389.8955078125,
01 2026 NQ_page_2.png,1654.0,2339.0,0.7071398033347585,500.2490234375,
01 2026 NQ_page_3.png,1654.0,2339.0,0.7071398033347585,16.7958984375,
02 2026 NQ_page_1.png,1654.0,2339.0,0.7071398033347585,420.4248046875,
02 2026 NQ_page_2.png,1654.0,2339.0,0.7071398033347585,508.7099609375,
02 2026 NQ_page_3.png,1654.0,2339.0,0.7071398033347585,641.95703125,
02 2026 NQ_page_4.png,1654.0,2339.0,0.7071398033347585,617.048828125,
02 2026 NQ_page_5.png,1654.0,2339.0,0.7071398033347585,478.7119140625,
02 2026 NQ_page_6.png,1654.0,2339.0,0.7071398033347585,83.09765625,
03 2026 NQ_page_1.png,1653.0,2339.0,0.7067122702009405,422.728515625,
03 2026 NQ_page_2.png,1653.0,2339.0,0.7067122702009405,305.3662109375,
03 2026 NQ_page_3.png,1653.0,2339.0,0.7067122702009405,279.9677734375,
04 2026 NQ_page_1.png,1654.0,2339.0,0.7071398033347585,406.798828125,
04 2026 NQ_page_2.png,1654.0,2339.0,0.7071398033347585,405.1962890625,
04 2026 NQ_page_3.png,1654.0,2339.0,0.7071398033347585,388.3837890625,
04 2026 NQ_page_4.png,1654.0,2339.0,0.7071398033347585,379.341796875,
04 2026 NQ_page_5.png,1654.0,2339.0,0.7071398033347585,353.23046875,
05 2026 NQ_page_1.png,1654.0,2339.0,0.7071398033347585,408.3251953125,
05 2026 NQ_page_2.png,1654.0,2339.0,0.7071398033347585,281.7490234375,
05 2026 NQ_page_3.png,1654.0,2339.0,0.7071398033347585,304.408203125,
05 2026 NQ_page_4.png,1654.0,2339.0,0.7071398033347585,378.2177734375,
05 2026 NQ_page_5.png,1654.0,2339.0,0.7071398033347585,304.8671875,
06 2026 NQ_page_1.png,1654.0,2339.0,0.7071398033347585,391.623046875,
06 2026 NQ_page_2.png,1654.0,2339.0,0.7071398033347585,385.7158203125,
06 2026 NQ_page_3.png,1654.0,2339.0,0.7071398033347585,388.99609375,
06 2026 NQ_page_4.png,1654.0,2339.0,0.7071398033347585,502.9921875,
08.VBHN-BNV_page_1.png,1654.0,2339.0,0.7071398033347585,439.955078125,
08.VBHN-BNV_page_10.png,1654.0,2339.0,0.7071398033347585,562.6748046875,
08.VBHN-BNV_page_11.png,1654.0,2339.0,0.7071398033347585,418.1015625,
08.VBHN-BNV_page_12.png,1654.0,2339.0,0.7071398033347585,605.4794921875,
08.VBHN-BNV_page_13.png,1654.0,2339.0,0.7071398033347585,511.6796875,
08.VBHN-BNV_page_14.png,1654.0,2339.0,0.7071398033347585,461.3369140625,
08.VBHN-BNV_page_15.png,1654.0,2339.0,0.7071398033347585,611.8955078125,
08.VBHN-BNV_page_16.png,1654.0,2339.0,0.7071398033347585,497.9375,
08.VBHN-BNV_page_17.png,1654.0,2339.0,0.7071398033347585,546.87890625,
08.VBHN-BNV_page_18.png,1654.0,2339.0,0.7071398033347585,407.4873046875,
08.VBHN-BNV_page_19.png,1654.0,2339.0,0.7071398033347585,474.845703125,
08.VBHN-BNV_page_2.png,1654.0,2339.0,0.7071398033347585,337.3251953125,
08.VBHN-BNV_page_20.png,1654.0,2339.0,0.7071398033347585,437.6337890625,
08.VBHN-BNV_page_21.png,1654.0,2339.0,0.7071398033347585,392.39453125,
08.VBHN-BNV_page_22.png,1654.0,2339.0,0.7071398033347585,603.9541015625,
08.VBHN-BNV_page_23.png,1654.0,2339.0,0.7071398033347585,474.994140625,
08.VBHN-BNV_page_24.png,1654.0,2339.0,0.7071398033347585,464.564453125,
08.VBHN-BNV_page_25.png,1654.0,2339.0,0.7071398033347585,563.5126953125,
08.VBHN-BNV_page_26.png,1654.0,2339.0,0.7071398033347585,424.3994140625,
08.VBHN-BNV_page_27.png,1654.0,2339.0,0.7071398033347585,533.1904296875,
08.VBHN-BNV_page_28.png,1654.0,2339.0,0.7071398033347585,352.2333984375,
